case_idx,task,ctx_bucket,prompt_len_tokens,anchor_4gram_hits,anchor_2gram_hits,anchor_6gram_hits,tf_idf_weighted_4gram,answer,prompt_preview
1,niah_single,16384,16378,4,6,2,4.0,3399177,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,16384,16380,5,7,3,5.0,2667052,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,16384,16380,5,7,3,5.0,4638434,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,16384,16380,5,7,3,5.0,3521856,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,2048,2043,5,7,3,5.0,1714695,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,2048,2046,6,8,4,6.0,9964948,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,2048,2044,5,7,3,5.0,2828174,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,2048,2042,4,6,2,4.0,7400561,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,2048,2045,5,7,3,5.0,3136071,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,2048,2043,4,6,2,4.0,4643313,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,2048,2045,5,7,3,5.0,9585386,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,2048,2044,5,7,3,5.0,9386263,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,2048,2042,4,6,2,4.0,8685555,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,2048,2044,5,7,3,5.0,8618439,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,2048,2044,5,7,3,5.0,2590780,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,2048,2043,4,6,2,4.0,7012731,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,2048,2044,5,7,3,5.0,1587684,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,2048,2044,5,7,3,5.0,9119023,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,2048,2042,4,6,2,4.0,1572623,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,2048,2044,5,7,3,5.0,2704868,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,2048,2042,4,6,2,4.0,0753607,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,2048,2042,4,6,2,4.0,8955187,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,2048,2044,5,7,3,5.0,2259727,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,2048,2043,4,6,2,4.0,4986475,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,32768,32762,4,6,2,4.0,8077207,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,32768,32762,4,6,2,4.0,3854052,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,32768,32762,4,6,2,4.0,2993192,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,32768,32764,5,7,3,5.0,6894787,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,32768,32764,5,7,3,5.0,4924700,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,4096,4092,5,7,3,5.0,1206484,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,4096,4090,4,6,2,4.0,6634991,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,4096,4092,5,7,3,5.0,8389057,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,4096,4090,4,6,2,4.0,5160441,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,4096,4090,4,6,2,4.0,2230033,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,65536,65530,4,6,2,4.0,0056420,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,65536,65530,4,6,2,4.0,9742285,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,65536,65532,5,7,3,5.0,5958669,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,65536,65530,4,6,2,4.0,2324660,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,65536,65532,5,7,3,5.0,2445148,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,8192,8186,4,6,2,4.0,5654465,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,8192,8186,4,6,2,4.0,1761426,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,8192,8187,4,6,2,4.0,6469877,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,8192,8187,4,6,2,4.0,3157419,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,8192,8188,5,7,3,5.0,5896222,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,vt,16384,15760,0,5,0,0.0,AQKYKW,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
1,vt,16384,15765,0,15,0,0.0,DCAOOK,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
2,vt,16384,15780,0,10,0,0.0,AUCWVM,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
3,vt,16384,15770,1,15,0,1.0,BHKIGS,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
4,vt,16384,15765,0,12,0,0.0,LDBRAF,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
0,vt,32768,31502,1,16,0,1.0,GGKCJN,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
1,vt,32768,31500,1,16,0,1.0,YLEYXX,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
2,vt,32768,31500,0,16,0,0.0,TEMJKO,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
3,vt,32768,31504,1,16,0,1.0,LZBKRI,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
4,vt,32768,31499,0,8,0,0.0,LTPPKO,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
0,vt,4096,3971,0,9,0,0.0,ENKBGD,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
1,vt,4096,3973,0,16,0,0.0,TAJVUD,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
2,vt,4096,3978,3,12,0,3.0,OWBWAV,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
3,vt,4096,3967,2,16,0,2.0,SFKKKE,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
4,vt,4096,3986,0,14,0,0.0,AYPNCQ,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
0,vt,65536,62968,0,16,0,0.0,MREMXZ,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
1,vt,65536,62955,1,13,0,1.0,AWLRFQ,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
2,vt,65536,62964,2,16,0,2.0,KHKDBU,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
3,vt,65536,62967,3,16,0,3.0,RZJZKM,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
4,vt,65536,62961,0,16,0,0.0,EKSYBI,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
0,vt,8192,7910,1,16,0,1.0,ASYTXQ,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
1,vt,8192,7919,2,16,0,2.0,KEXPWU,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
2,vt,8192,7908,0,7,0,0.0,YEZYIU,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
3,vt,8192,7913,0,16,0,0.0,CCEZPK,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
4,vt,8192,7905,1,16,0,1.0,ZATZCH,The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
